name,address,address_line_2,city,province,postal_code,latitude,longitude,phone,email,fuel_brand,price_zone,available_fuel_types,fuel_prices_petrol_95,fuel_prices_petrol_93,fuel_prices_diesel_50ppm,fuel_prices_diesel_500ppm,other_offerings,contact_1_name,contact_1_surname,contact_1_email,contact_1_office_phone,contact_1_mobile_phone,contact_2_name,contact_2_surname,contShell Range River Service Station	358 Rifle Range Rd	Gillview	Johannesburg	Gauteng	2091					Shell	Inland	Petrol 95|Diesel 50ppm					Convenience Store											
Shell Fomiss 1	46 Alwen Rd	Evans Park	Johannesburg	Gauteng	2091					Shell	Inland	Petrol 95|Diesel 50ppm					Convenience Store											
Sasol Swartgoud	Cnr Swartgoud & Columbine Ave	Suideroord	Johannesburg	Gauteng	2091					Sasol	Inland	Petrol 95|Diesel 50ppm					Convenience Store											
TotalEnergies La Rochelle	256 Turf Rd	La Rochelle	Johannesburg	Gauteng	2190					Total	Inland	Petrol 95|Diesel 50ppm					Convenience Store											
Engen Glenvista	Cnr Sneeuberg St & Bellairs Dr	Glenvista	Johannesburg	Gauteng	2091					Engen	Inland	Petrol 95|Diesel 50ppm					Convenience Store											
Shell Hatfield	1147 Burnett St	Hatfield	Pretoria	Gauteng	0083					Shell	Inland	Petrol 95|Diesel 50ppm					Convenience Store											
BP Brooklyn	Cnr Middel & Justice Mahomed St	Brooklyn	Pretoria	Gauteng	0181					BP	Inland	Petrol 95|Diesel 50ppm					Convenience Store											
Engen Menlyn	Atterbury Rd	Menlyn	Pretoria	Gauteng	0181					Engen	Inland	Petrol 95|Diesel 50ppm					Convenience Store											
Sasol Centurion Gate	Cnr Akkerboom & Edison Cres	Centurion	Gauteng	0157					Sasol	Inland	Petrol 95|Diesel 50ppm					Convenience Store												
TotalEnergies Arcadia	Pretorius St	Arcadia	Pretoria	Gauteng	0083					Total	Inland	Petrol 95|Diesel 50ppm					Convenience Store											
Shell Sea Point	154 Main Rd	Sea Point	Cape Town	Western Cape	8005					Shell	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
BP Claremont	33 Imam Haron Rd	Claremont	Cape Town	Western Cape	7708					BP	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
Engen Woodstock	Albert Rd	Woodstock	Cape Town	Western Cape	7925					Engen	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
TotalEnergies Bellville	Voortrekker Rd	Bellville	Cape Town	Western Cape	7530					Total	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
Caltex Rondebosch	120 Main Rd	Rondebosch	Cape Town	Western Cape	7700					Caltex	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
Shell Overport Motors	16 South Rd	Overport	Durban	KwaZulu-Natal	4091					Shell	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
Engen Queensburgh Convenience Centre	171 Main Rd	Malvern	Durban	KwaZulu-Natal	4093					Engen	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
Engen Ushaka Convenience Centre	202 Mahatma Gandhi Rd	Point	Durban	KwaZulu-Natal	4001					Engen	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
BP Westville	Jan Hofmeyr Rd	Westville	Durban	KwaZulu-Natal	3629					BP	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
TotalEnergies Broad Street	Dr Yusuf Dadoo St	Durban Central	Durban	KwaZulu-Natal	4001					Total	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
Shell Newton Park	Cape Rd	Newton Park	Port Elizabeth	Eastern Cape	6045					Shell	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
BP Walmer	Heugh Rd	Walmer	Port Elizabeth	Eastern Cape	6070					BP	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
TotalEnergies Central	Govan Mbeki Ave	Central	Port Elizabeth	Eastern Cape	6001					Total	Coastal	Petrol 95|Diesel 50ppm					Convenience Store											
Shell Brandwag	Nelson Mandela Dr	Brandwag	Bloemfontein	Free State	9301					Shell	Inland	Petrol 95|Diesel 50ppm					Convenience Store											
BP Langenhovenpark	Wynand Mouton Dr	Langenhoven Park	Bloemfontein	Free State	9301					BP	Inland	Petrol 95|Diesel 50ppm					Convenience Store											
Engen Westdene	Curie Ave	Westdene	Bloemfontein	Free State	9301					Engen	Inland	Petrol 95|Diesel 50ppm					Convenience Store											
act_2_email,contact_2_office_phone,contact_2_mobile_phone,vat_number
